state,GDP
Andaman & Nicobar Islands,103705
Andhra Pradesh,11338365
Arunachal Pradesh,351235
Assam,4126119
Bihar,6503024
Chandigarh,456353
Chhattisgarh,4064158
Dadra & Nagar Haveli,NA
Daman & Diu,NA
NCT OF Delhi,9046420
Goa,826037
Gujarat,19770665
Haryana,8706645
Himachal Pradesh,1762695
Jammu & Kashmir,1999174
Jharkhand,3588626
Karnataka,19627254
Kerala,9324700
Lakshadweep,NA
Madhya Pradesh,11361372
Maharashtra,31080219
Manipur,365945
Meghalaya,387847
Mizoram,278235
Nagaland,319125
Odisha,6708812
Puducherry,442379
Punjab,6142268
Rajasthan,12181935
Sikkim,375574
Tamil Nadu,20712862
Telangana,11289072
Tripura,625504
Uttar Pradesh,19745316
Uttarakhand,2721595
West Bengal,13639259
